,IP,mount
0,1.1.1.11,1.2.32.12:/xyz7
0,1.1.1.11,1.2.32.12:/xyz10
0,1.1.1.11,1.2.32.12:/xyz11
0,1.1.1.11,1.2.32.12:/xyz6
0,1.1.1.11,1.1.132.15:/abcd_storage7
0,1.1.1.11,1.1.132.15:/abcd_storage1
0,1.1.1.11,1.1.132.15:/abcd_storage2
0,1.1.1.11,1.1.132.15:/abcd_storage3
0,1.1.1.11,1.1.132.15:/abcd_storage4
0,1.1.1.11,1.1.132.15:/abcd_storage5
0,1.1.1.11,1.1.132.15:/abcd_storage6
0,1.1.1.11,1.1.132.15:/abcd_-original
0,1.1.1.11,1.2.32.12:/xyz13
0,1.1.1.11,1.1.132.15:/abcd-
0,1.1.1.11,1.1.132.15:/abcd-1
0,1.1.1.11,1.2.10.210:/PQRST_VMVol19/storage-2
0,1.1.1.11,1.2.10.210:/PQRST_VMVol19/storage-4
0,1.1.1.11,1.2.10.210:/PQRST_VMVOL21/storage-3
0,1.1.1.11,1.2.10.210:/PQRST_VMVol18
0,1.1.1.11,1.2.32.252:/PQRST_VMVOL21/storage-netapp5
1,1.1.1.12,1.2.10.210:/PQRST_186VOL01
1,1.1.1.12,1.2.32.252:/PQRST_185VOL01
1,1.1.1.12,1.2.10.210:/PQRST_BRIC9_VOL01
1,1.1.1.12,1.1.132.15:/abcd-vt-logs
1,1.1.1.12,1.2.10.210:/PQRST_186VOL03
1,1.1.1.12,1.2.10.210:/PQRST_185_186VOL05
1,1.1.1.12,1.2.32.252:/PQRST_BRIC9_TEMPSTOR/
1,1.1.1.12,1.2.10.210:/PQRST_186VOL04
1,1.1.1.12,1.2.10.210:/PQRST_VMVOL03
1,1.1.1.12,1.2.10.210:/PQRST_VMVOL04
1,1.1.1.12,1.2.32.252:/PQRST_185_186VOL04
1,1.1.1.12,1.2.32.252:/PQRST_185VOL02
1,1.1.1.12,1.2.10.210:/PQRST_VMVOL06
1,1.1.1.12,1.2.10.210:/PQRST_VMVOL07
1,1.1.1.12,1.2.10.210:/PQRST_VMVOL09
1,1.1.1.12,1.2.10.210:/PQRST_VMVOL11
1,1.1.1.12,1.2.10.210:/PQRST_VMVOL12
1,1.1.1.12,1.2.10.210:/PQRST_VMVOL13
